brand,title,start_time,distance,volumn,gear,tag,price
大众, 迈腾 2015款 改款 1.8TSI 豪华型-超高性价比,2015年,6万公里,1.8升,自动,放心购_会员3年,13.48
别克, 君越 2010款 2.4L豪华版-车况精品无事故,2010年,6.9万公里,2.4升,自动,放心购_会员1年,5.98
依维柯, 2013款 2.5TV39 箱货低顶-精品宝迪 价格可小议,2013年,8万公里,2.5升,手动,放心购_会员1年_可分期付,9.68
福特, 福克斯两厢 2017款 两厢 1.6L 手动风尚型智行版-首付低 利率低 提车快,2018年,0.18万公里,1.6升,手动,放心购_会员1年,8.52
大众, 迈腾 2015款 改款 1.8TSI 豪华型-超高性价比,2015年,6万公里,1.8升,自动,放心购_会员3年,13.48
马自达, 3昂克赛拉三厢 2017款 三厢 1.5L 自动豪华型-首付低 利率低 提车快,2018年,1.87万公里,1.5升,自动,放心购_会员1年,12.23
大众, 速腾 2014款 1.4TSI 自动豪华型-首付低 利率低 提车快,2014年,4.45万公里,1.4升,自动,放心购_会员1年,9.73
大众, 速腾 2018款 1.6L 自动舒适型-首付低 利率低 提车快,2017年,0.4万公里,1.6升,自动,放心购_会员1年,11.48
别克, 凯越 2005款 1.8 自动豪华型,2005年,11万公里,1.8升,自动,放心购_会员3年,1
大众, 迈腾 2015款 改款 1.8TSI 豪华型-超高性价比,2015年,6万公里,1.8升,自动,放心购_会员3年,13.48
日产, 轩逸 2018款 1.6XV CVT尊享版-首付低 利率低 提车快,2018年,2.6万公里,1.6升,自动,放心购_会员1年,10.66
别克, 君越 2013款 2.4L SIDI领先舒适型-首付低 利率低 提车快,2015年,4.24万公里,2.4升,自动,放心购_低配,12.15
依维柯, 2009款 手动 2.8T V39 6座 柴油-送沪牌可过户六坐小型,2013年,8万公里,2.8升,手动,放心购_低配_会员1年,5.88
丰田, 雷凌 2017款 1.2T V CVT豪华版-首付低 利率低 提车快,2017年,2.96万公里,1.2升,自动,放心购_会员1年,10.9
本田, 缤智 2015款 1.8L CVT两驱豪华型-首付低 利率低 提车快,2015年,4.48万公里,1.8升,自动,放心购_会员1年,12.35
别克, 君越 2007款 2.4 豪华导航版,2007年,12万公里,2.4升,自动,放心购_会员1年_可分期付,2.2
别克, 君威 2009款 2.0L 舒适版,2009年,9万公里,2.0升,自动,放心购_低配_会员3年,3.8
奔腾, B30 2017款 1.6L 自动 尊享型-首付低 利率低 提车快,2016年,4.66万公里,1.6升,自动,放心购_会员1年,5.79
大众, 途安 2013款 1.4T 自动舒适版5座-首付低 利率低 提车快,2013年,7.43万公里,1.4升,自动,放心购_会员1年,8.92
马自达, 阿特兹ATENZA 2014款 2.0L 蓝天时尚版-首付低 利率低 提车快,2015年,5.88万公里,2.0升,自动,放心购_低配,11.27
别克, 英朗GT 2010款 GT 1.8L 自动时尚版,2010年,8万公里,1.8升,自动,放心购_会员1年,3.1
大通, MAXUS V80 2017款 V80 2.5T6挡手动傲运通国V长轴中顶5座-17年国五加长大通车况极品极品,2017年,3.6万公里,2.5升,手动,放心购_会员1年_可分期付,13.2
吉普, 广汽自由侠 2017款 180T 自动劲能版-首付低 利率低 提车快,2017年,4.0万公里,1.4升,自动,放心购_会员1年,10.24
日产, 骐达 2011款 1.6L CVT智能型-首付低 利率低 提车快,2012年,6.75万公里,1.6升,自动,放心购_会员1年,6.74
